Дата,Цена_platinum,Цена_gold
01.01.2018,1014.0,1348.4
01.02.2018,997.9,1323.7
01.03.2018,939.4,1333.3
01.04.2018,915.9,1325.3
01.05.2018,920.9,1310.8
01.06.2018,862.5,1260.2
01.07.2018,855.2,1233.6
01.08.2018,795.6,1206.7
01.09.2018,826.5,1201.9
01.10.2018,852.1,1220.8
01.11.2018,810.1,1231.8
01.12.2018,805.6,1287.7
01.01.2019,834.7,1331.6
01.02.2019,884.9,1322.7
01.03.2019,859.5,1304.5
01.04.2019,902.8,1291.7
01.05.2019,804.8,1316.9
01.06.2019,846.2,1419.6
01.07.2019,887.9,1437.8
01.08.2019,941.5,1529.4
01.09.2019,895.1,1479.6
01.10.2019,943.9,1521.8
01.11.2019,911.0,1478.1
01.12.2019,983.6,1529.3
01.01.2020,972.5,1593.8
01.02.2020,874.5,1571.8
01.03.2020,730.8,1596.6
01.04.2020,812.1,1701.0
01.05.2020,873.4,1760.7
01.06.2020,856.1,1810.0
01.07.2020,925.9,1985.9
01.08.2020,953.3,1978.6
01.09.2020,915.8,1902.6
01.10.2020,857.9,1887.2
01.11.2020,973.4,1784.8
01.12.2020,1083.1,1899.6
01.01.2021,1087.7,1852.7
01.02.2021,1193.3,1731.6
01.03.2021,1195.1,1717.5
01.04.2021,1212.1,1769.8
01.05.2021,1190.5,1906.9
01.06.2021,1076.3,1773.5
01.07.2021,1054.3,1817.2
01.08.2021,1019.2,1818.1
01.09.2021,963.7,1758.5
01.10.2021,1023.4,1785.9
01.11.2021,931.7,1778.3
01.12.2021,966.6,1831.0
01.01.2022,1021.1,1799.2
01.02.2022,1040.7,1904.0
01.03.2022,998.0,1959.5
01.04.2022,943.6,1918.6
01.05.2022,970.2,1856.3
01.06.2022,898.4,1816.3
01.07.2022,894.9,1781.8
01.08.2022,833.9,1726.2
01.09.2022,860.9,1684.9
01.10.2022,929.7,1654.9
01.11.2022,1040.8,1775.1
01.12.2022,1086.0,1842.2
01.01.2023,1031.9,1962.2
01.02.2023,966.5,1853.2
01.03.2023,1009.1,2004.1
01.04.2023,1098.2,2018.3
01.05.2023,999.0,1982.1
01.06.2023,913.2,1929.4
01.07.2023,958.6,2009.2
01.08.2023,974.4,1965.9
